Name,Listing Date,Issue Price,Listing Price,LTP,Returns from issue price
Rajgor Castor Derivatives Ltd,31-Oct-23,50,59,21.25,-57.5
Womancart Ltd,27-Oct-23,86,117,346,302.33
IRM Energy Ltd,26-Oct-23,505,479,263.55,-47.81
Arvind Port & Infra Ltd,25-Oct-23,45,80,56.2,24.89
Committed Cargo Care Ltd,18-Oct-23,77,82,204.7,165.84
Plada Infotech Services Ltd,13-Oct-23,48,59,22,-54.17
Vivaa Tradecom Ltd,12-Oct-23,51,40.8,49,-3.92
Karnika Industries Ltd,12-Oct-23,76,81,613.95,707.83
Sharp Chucks and Machines Ltd,12-Oct-23,58,66,108.85,87.67
Plaza Wires Ltd,12-Oct-23,54,84,59.72,10.59
Sunita Tools Ltd,11-Oct-23,145,155,784,440.69
Canarys Automations Ltd,11-Oct-23,31,43.45,30.05,-3.06
Goyal Salt Ltd,11-Oct-23,38,130,162,326.32
OneClick Logistics India Ltd,11-Oct-23,99,140,159.35,60.96
City Crops Agro Ltd,10-Oct-23,25,25.5,20.05,-19.8
Kontor Space Ltd,10-Oct-23,93,122,80.9,-13.01
Vishnusurya Projects and Infra Ltd,10-Oct-23,68,73,205,201.47
Arabian Petroleum Ltd,09-Oct-23,70,77.4,69.45,-0.79
E Factor Experiences Ltd,09-Oct-23,75,115,167.65,123.53
Valiant Laboratories Ltd,06-Oct-23,140,161,86.48,-38.23
Vinyas Innovative Technologies Ltd,06-Oct-23,165,330,737.6,347.03
Organic Recycling Systems Ltd,06-Oct-23,200,215,273,36.5
Inspire Films Ltd,05-Oct-23,59,67,22.4,-62.03
Updater Services Ltd,04-Oct-23,300,299.9,285.1,-4.97
Mangalam Alloys Ltd,04-Oct-23,80,80,36.1,-54.88
Digikore Studios Ltd,04-Oct-23,171,270,219.25,28.22
JSW Infrastructure Ltd,03-Oct-23,119,143,269.9,126.81
Saakshi Medtech & Panels Ltd,03-Oct-23,97,146,152.35,57.06
Manoj Vaibhav Gems `N` Jewellers Ltd,03-Oct-23,215,215,217.44,1.13
Master Components Ltd,29-Sep-23,140,140.4,278.25,98.75
Yatra Online Ltd,28-Sep-23,142,130,71.56,-49.61
Cellecor Gadgets Ltd,28-Sep-23,92,92,62.45,-32.12
Hi-Green Carbon Ltd,28-Sep-23,75,77,220.05,193.4
Marco Cables & Conductors Ltd,28-Sep-23,36,38.7,43.45,20.69
SignatureGlobal India Ltd,27-Sep-23,385,445,1062.2,175.9
Kody Technolab Ltd,27-Sep-23,160,170,975,509.38
Sai Silks (Kalamandir) Ltd,27-Sep-23,222,230.1,145.02,-34.68
Techknowgreen Solutions Ltd,27-Sep-23,86,87,173.25,101.45
Madhusudan Masala Ltd,26-Sep-23,70,120,171.05,144.36
Kundan Edifice Ltd,26-Sep-23,91,75,122.85,35
Chavda Infra Ltd,25-Sep-23,65,91,145.85,124.38
Holmarc Opto-Mechatronics Ltd,25-Sep-23,40,65.25,155.9,289.75
Zaggle Prepaid Ocean Services Ltd,22-Sep-23,164,162,367.85,124.3
Samhi Hotels Ltd,22-Sep-23,126,130.55,149.88,18.95
Elin Electronics Ltd,30-Dec-22,247,243,118.25,-52.13
Moxsh Overseas Educon Ltd,30-Dec-22,153,131,29,-81.05
KFin Technologies Ltd,29-Dec-22,366,369,929.55,153.98
Uma Converter Ltd,29-Dec-22,33,34.25,30,-9.09
Arihant Academy Ltd,29-Dec-22,90,120.1,234.45,160.5
Dollex Agrotech Ltd,28-Dec-22,35,30,36.5,4.29
